customer_id,name,gender,city,signup_date
1,Customer_1,Male,Kathmandu,2023-01-30
2,Customer_2,Female,Lalitpur,2021-08-17
3,Customer_3,Male,Kathmandu,2022-11-24
4,Customer_4,Male,Pokhara,2021-02-02
5,Customer_5,Male,Kathmandu,2021-08-12
6,Customer_6,Male,Kathmandu,2022-07-29
7,Customer_7,Male,Pokhara,2021-08-14
8,Customer_8,Female,Bhaktapur,2023-04-09
9,Customer_9,Male,Lalitpur,2022-12-16
10,Customer_10,Female,Bhaktapur,2021-10-12
11,Customer_11,Male,Lalitpur,2023-02-21
12,Customer_12,Female,Kathmandu,2021-04-05
13,Customer_13,Female,Kathmandu,2022-01-03
14,Customer_14,Female,Bhaktapur,2023-04-07
15,Customer_15,Male,Pokhara,2022-07-04
16,Customer_16,Male,Pokhara,2021-03-22
17,Customer_17,Female,Bhaktapur,2022-08-15
18,Customer_18,Male,Kathmandu,2021-02-16
19,Customer_19,Male,Bhaktapur,2021-03-23
20,Customer_20,Male,Kathmandu,2022-01-25
21,Customer_21,Female,Pokhara,2022-10-13
22,Customer_22,Female,Lalitpur,2022-01-15
23,Customer_23,Female,Lalitpur,2022-11-18
24,Customer_24,Female,Kathmandu,2022-09-16
25,Customer_25,Male,Lalitpur,2021-06-17
26,Customer_26,Female,Pokhara,2021-10-04
27,Customer_27,Male,Bhaktapur,2023-05-14
28,Customer_28,Male,Lalitpur,2023-04-22
29,Customer_29,Male,Bhaktapur,2022-02-15
30,Customer_30,Female,Kathmandu,2021-08-05
31,Customer_31,Female,Lalitpur,2022-11-03
32,Customer_32,Female,Pokhara,2022-10-21
33,Customer_33,Female,Lalitpur,2021-09-29
34,Customer_34,Male,Lalitpur,2023-02-02
35,Customer_35,Female,Pokhara,2022-08-21
36,Customer_36,Female,Bhaktapur,2021-08-13
37,Customer_37,Male,Pokhara,2021-04-04
38,Customer_38,Male,Kathmandu,2021-06-06
39,Customer_39,Male,Pokhara,2022-09-03
40,Customer_40,Male,Pokhara,2022-01-26
41,Customer_41,Female,Bhaktapur,2022-07-21
42,Customer_42,Male,Kathmandu,2022-11-30
43,Customer_43,Female,Bhaktapur,2021-04-25
44,Customer_44,Female,Pokhara,2021-06-11
45,Customer_45,Female,Kathmandu,2023-01-10
46,Customer_46,Female,Lalitpur,2022-06-04
47,Customer_47,Male,Bhaktapur,2023-05-12
48,Customer_48,Male,Lalitpur,2022-01-18
49,Customer_49,Male,Kathmandu,2022-09-06
50,Customer_50,Female,Pokhara,2021-01-20
51,Customer_51,Male,Bhaktapur,2023-06-19
52,Customer_52,Female,Lalitpur,2021-03-01
53,Customer_53,Male,Kathmandu,2021-03-29
54,Customer_54,Female,Kathmandu,2023-02-18
55,Customer_55,Male,Lalitpur,2022-11-07
56,Customer_56,Female,Lalitpur,2021-09-29
57,Customer_57,Female,Lalitpur,2022-07-07
58,Customer_58,Male,Bhaktapur,2022-02-13
59,Customer_59,Female,Pokhara,2022-06-14
60,Customer_60,Female,Kathmandu,2021-09-11
61,Customer_61,Male,Kathmandu,2021-12-13
62,Customer_62,Male,Lalitpur,2022-08-26
63,Customer_63,Male,Kathmandu,2021-03-14
64,Customer_64,Male,Lalitpur,2021-03-11
65,Customer_65,Male,Bhaktapur,2021-03-14
66,Customer_66,Male,Bhaktapur,2022-11-17
67,Customer_67,Female,Lalitpur,2022-07-07
68,Customer_68,Male,Pokhara,2021-09-06
69,Customer_69,Female,Pokhara,2021-07-14
70,Customer_70,Male,Kathmandu,2022-11-06
71,Customer_71,Female,Bhaktapur,2022-03-10
72,Customer_72,Female,Pokhara,2023-06-04
73,Customer_73,Male,Kathmandu,2021-03-04
74,Customer_74,Female,Bhaktapur,2023-03-31
75,Customer_75,Male,Lalitpur,2021-07-16
76,Customer_76,Male,Pokhara,2021-05-24
77,Customer_77,Female,Lalitpur,2021-10-13
78,Customer_78,Female,Lalitpur,2023-06-15
79,Customer_79,Male,Pokhara,2023-04-08
80,Customer_80,Male,Kathmandu,2022-10-30
81,Customer_81,Male,Kathmandu,2023-02-11
